campaign,campaign_date,site_id,date_collected,date_received,job_id,report_file,lab_sample_id,analyte_std,result_text,result_value,detect_flag,rl,unit,qualifier,dil_fac
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorodecanesulfonic acid (PFDS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorododecanoic acid (PFDoA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorododecanesulfonic acid (PFDoS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoro (2-ethoxyethane) sulfonic acid (PFEESA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoroheptanoic acid (PFHpA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoroheptanesulfonic acid (PFHpS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorohexanoic acid (PFHxA),2.0,2.0,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorohexanesulfonic acid (PFHxS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoro-4-methoxybutanoic acid (PFMBA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoro-3-methoxypropanoic acid (PFMPA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorononanoic acid (PFNA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorononanesulfonic acid (PFNS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorooctanoic acid (PFOA),1.5,1.5,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorooctanesulfonic acid (PFOS),2.7,2.7,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorooctanesulfonamide (PFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoropentanoic acid (PFPeA),2.5,2.5,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoropentanesulfonic acid (PFPeS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorotetradecanoic acid (PFTeDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorotridecanoic acid (PFTrDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluoroundecanoic acid (PFUnA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,3-Perfluoropropylpropanoic acid (3:3 FTCA),<2.8,,0,2.8,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,"1H,1H,2H,2H-Perfluorohexane sulfonic acid (4:2 FTS)",<2.8,,0,2.8,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,3-Perfluoropentylpropanoic acid (5:3 FTCA),<6.9,,0,6.9,ng/L,,1
